, Never-married, Not-in-family
, Divorced, Not-in-family
, Divorced, Unmarried
, Divorced, Own-child
, Divorced, Other-relative
, Married-AF-spouse, Wife
, Married-AF-spouse, Husband
, Married-AF-spouse, Own-child
, Married-AF-spouse, Other-relative
, Married-civ-spouse, Husband
, Married-civ-spouse, Wife
, Married-civ-spouse, Own-child
, Married-civ-spouse, Other-relative
, Married-civ-spouse, Not-in-family
, Married-spouse-absent, Not-in-family
, Married-spouse-absent, Unmarried
, Married-spouse-absent, Own-child
, Married-spouse-absent, Other-relative
, Never-married, Own-child
, Never-married, Unmarried
, Never-married, Other-relative
, Separated, Unmarried
, Separated, Own-child
, Separated, Other-relative
, Separated, Not-in-family
, Widowed, Unmarried
, Widowed, Not-in-family
, Widowed, Own-child
, Widowed, Other-relative